Fri Dec  4 09:48:45 2015 [292769][-none-][FATAL]  Query Failed: SHOW TABLES LIKE 'config': MySQL error 1046: No database selected
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:54 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:55 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:55 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
Fri Dec  4 09:48:55 2015 [292769][-none-][FATAL]  Query Failed: select securitygroups_default.id, securitygroups.name, securitygroups_default.module, securitygroups_default.securitygroup_id from securitygroups_default inner join securitygroups on securitygroups_default.securitygroup_id = securitygroups.id where securitygroups_default.deleted = 0 and securitygroups.deleted = 0: MySQL error 1146: Table 'suite.securitygroups_default' doesn't exist
